the_geom,Longitude,Latitude,OBJECTID,Loc,Borough,Street_Nam,From_Stree,To_Street,Iex,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD,May23_AM,May23_pM,May23_MD,Oct23_AM,Oct23_PM,Oct23_MD,June24_AM,June24_PM,June24_MD,Oct24_AM,Oct24_PM,Oct24_MD,May25_AM,May25_PM,May25_MD,Last 5 Year Average
POINT (-73.79555468117455 40.70653426935826),-73.79555468117455',40.70653426935826',71,71,Queens,165th Street,89th Avenue,Jamaica Avenue,N,824,"3,972","2,800",717,"4,789","3,429",710,"4,372","2,787",882,"3,550","2,237",804,"4,812","3,254",727,"5,177","3,428",757,"2,814","3,621",970,"7,848","3,875",979,"6,751","3,698",992,"5,450","4,133",750,"2,898","4,713",828,"5,531","3,311",895,"5,050","4,363",979,"4,207","3,073",763,"4,317","3,923",848,"4,106","2,048",721,"3,827","2,517",987,"4,981","3,101",965,"3,676","3,653","1,071","3,859","3,809",782,"5,360","3,509","1,165","4,684","4,333",455,"3,877","2,641",661,"2,658","2,232",0,0,0,244,"2,105","2,006",252,"2,692","2,396",473,"2,477","2,463",391,"1,874","2,013",279,849,"1,666",315,879,829,423,"1,959","2,410",359,"2,353","1,915",421,"1,900",1766,341,"1,423","1,591",1368.8
POINT (-73.89225364571111 40.74891155301485),-73.89225364571111,40.74891155301485',72,72,Queens,37th Avenue,73rd Street,74th Street,Y,"1,002","4,106","3,142","1,159","4,398","3,500","1,058","4,594","3,367","1,592","5,184","3,561","1,236","4,575","2,782",988,"3,551","2,574","1,113","4,116","2,710","1,361","4,279","3,412","1,406","5,929","3,648","1,410","5,977","2,618","1,244","3,408","3,457",918,"4,761","3,605","1,210","3,556","3,188","1,349","5,683","3,742","1,347","4,926","2,877","1,720","5,356","2,660","1,215","4,757","2,564","1,193","5,667","2,780","1,258","5,240","2,319","1,332","4,646","2,305","1,256","4,618","2,495","1,378","4,375","2,787","1,242","4,233","2,949","1,341","4,960","2,985",681,"4,187","3,023",532,"3,816","2,519",613,"4,621","2,525","1,166","4,994","3,348","1,119","4,480","3,022",955,"3,516","3,207",934,"4,597","3,313","1,146","4,224","3,538","1,014","3,172","2,167","1,171","5,176",3180,956,"3,395","3,110",2717.533333
POINT (-73.88412639509386 40.74873155074409),-73.88412639509386',40.74873155074409',73,73,Queens,82 Street,37th Avenue,Roosevelt Avenue,Y,"1,739","4,753","3,114","2,933","8,401","6,054","2,299","6,851","2,650","2,130","3,541","5,198","2,733","10,839","6,515","2,545","7,483","4,969","2,850","10,144","7,431","3,949","14,738","7,602","2,506","10,249","5,125","2,649","9,941","5,022","2,088","2,972","5,854","2,642","8,772","6,132","2,662","9,288","6,726","2,674","8,868","6,825","2,510","8,668","4,657","2,888","8,781","4,539","2,640","8,479","5,501","3,047","8,648","6,037","2,868","9,190","5,285","2,905","8,768","6,429","2,920","8,534","6,133","2,776","8,450","6,170","2,774","8,927","4,252","2,739","8,486","5,238","2,016","8,641","5,491","1,211","5,004","4,168","1,534","7,625","3,452","2,272","7,958","5,792","1,980","7,276","4,922","2,201","6,186","4,959","2,609","8,960","5,920","1,770","6,345","3,572","1,511","4,493","4,732","1,879","4,784",2364,"1,940","5,338","4,639","4,246.53"
POINT (-73.84534157919526 40.720365744814835),-73.84534157919526',40.720365744814835',74,74,Queens,Austin Street,71st Ave,70th Road,Y,622,"4,356","2,227",514,"3,127","2,891","1,585","4,355","2,433",705,"4,216","2,469",729,"4,351","2,420",728,"4,407","2,891",657,"4,232","2,388",799,"4,039","3,631",657,"3,971","4,326",768,"4,435","3,200",940,"2,985","3,954",834,"4,530","4,376",995,"5,334","5,522","1,166","5,008","4,238",787,"4,128","3,621",840,"4,566","3,357","1,037","5,267","4,120",669,"3,653","3,956",871,"5,007","3,938",902,"3,818","3,199",787,"5,835","4,623",866,"4,765","2,387",700,"4,454","4,273",830,"4,906","2,908",770,"5,059","3,635",439,"3,174","2,269",722,"4,396","2,219",955,"3,451","3,204",898,"4,340","2,785",807,"3,516","3,424",781,"4,015","3,428","1,016","3,660","3,066",967,"4,485","3,116","1,043","4,268",2970,927,"3,941","2,772",2568.466667
POINT (-73.77114917957029 40.76393342115404),-73.77114917957029',40.76393342115404,75,75,Queens,Bell Boulevard,40th Avenue,41st Avenue,N,549,"1,578",968,597,"1,802","1,209",469,"1,292","1,282",513,"1,217","1,160",481,"1,656",785,426,"1,506",855,553,"1,958","1,095",650,"1,739",800,617,"2,106","1,562",503,"1,836","1,020",552,775,"1,241",576,"1,699","1,265",496,"1,807","1,226",497,"1,472","1,575",754,"1,880","1,874",815,"2,136",950,853,"1,644","1,962",781,"2,092","1,162","1,002","2,149","1,973",879,"2,479",756,637,"1,484","1,573",632,"1,788","1,369",762,"1,558","1,054",944,"2,607","1,481",0,0,0,237,"1,035",945,216,"1,231","1,040",260,"1,227","1,014",334,"1,635","1,446",339,"1,254","1,079",316,"1,673","1,721",422,"1,568","1,468",451,"2,069","1,446",428,"1,941",1432,535,"1,347","1,542",1055.033333
POINT (-73.89530306861195 40.70287665998952),-73.89530306861195,40.70287665998952',76,76,Queens,Fresh Po Road,Cypress Hills Street,70th Avenue,N,467,954,649,541,965,565,413,980,414,530,"1,028",463,511,827,447,484,875,514,429,919,636,509,911,590,444,"1,007",644,286,755,747,455,197,"1,241",482,799,603,426,918,607,442,"1,008",555,349,787,380,535,805,531,302,"1,017",425,662,975,643,515,661,385,531,668,346,499,559,391,371,491,376,176,311,191,151,254,195,0,0,0,234,829,563,273,824,385,422,680,517,375,798,619,370,657,599,342,786,508,388,788,491,377,807,564,395,944,652,352,680,591,560.3333333
POINT (-73.79247827489311 40.71091966309366),-73.79247827489311,40.71091966309366,77,77,Queens,Hillside Avenue,169th Street,170th Street,Y,"1,693","3,280","2,006","1,429","2,988","2,165",836,"3,442","1,693",923,"3,784","1,553",799,"3,564","1,854",826,"3,811","2,184",889,"3,747","2,154",977,"3,997","1,710",991,"3,977","2,348","1,069","3,531","1,453",902,"1,904","2,388","1,063","3,427","1,615","1,211","2,973","1,509",930,"3,392","1,943","1,314","4,635","1,970",668,"3,240","1,791",824,"3,709","1,899",982,"4,146","1,805",988,"3,577","1,712",959,"3,719","1,668",824,"3,545","2,480","1,131","1,691","1,146","1,015","2,556","2,657","1,221","2,820","2,032",936,"2,520","1,537",417,"2,194","1,415",519,"2,334","1,271",728,"2,477","1,249",761,"2,522","1,296",872,"2,443","1,466","1,055","3,187","1,871",841,"2,591","1,888",570,"2,034","1,453",770,"2,718",1374,868,"2,535","1,642",1578.7
POINT (-73.93947115150922 40.74817129070961),-73.93947115150922,40.74817129070961,78,78,Queens,Jackson Avenue,Queens Street,42 Road,N,354,425,108,411,408,62,380,509,112,348,382,69,451,360,79,242,424,288,294,319,238,326,406,213,401,463,159,403,482,157,669,463,222,631,535,198,647,632,300,694,960,296,668,897,284,660,600,129,338,614,234,520,"1,081",264,526,"1,056",742,723,"1,211",326,707,999,758,818,959,522,884,"1,374",940,"1,009","1,685","1,473",0,0,0,502,"1,150",857,794,"1,326","1,141",942,"1,991","1,372",915,"2,296","1,718",743,"1,526","1,788","1,045","2,472","1,834","1,211","2,465","1,451","1,240","2,424","1,553","1,134","2,579",1603,"1,115","2,282","2,091",1518.666667
POINT (-73.80593752065842 40.70182238071845),-73.80593752065842,40.70182238071845,79,79,Queens,Jamaica Avenue,148th Street,149th Street,N,813,"3,336","2,133",639,"3,384","2,246",621,"3,020","2,458",735,"2,789","1,896",747,"3,443","2,598",698,"3,324","1,861",651,"2,492","2,498",821,"1,942","2,261",789,"2,601","2,769",602,"3,152","2,373",708,"2,150","2,175",723,"2,766","2,423",751,"3,245","2,297",817,"2,821","2,063",782,"2,766","2,096",530,"2,948","1,807",896,"3,321","2,400",769,"2,291","2,036",896,"3,171","2,131",996,"3,328","1,687",825,"3,599","1,562","1,625","3,046","2,379",887,"3,589","2,486",900,"2,516","2,302",0,0,0,549,"2,132","1,880",577,"1,612","1,329",797,"2,527","1,868",638,"2,332",687,613,"2,154","1,613",644,"2,498","1,879",890,"2,888","2,172",819,"2,914","1,981","1,044","3,761",2066,808,"2,376","1,987",1667.833333
POINT (-73.79726496612192 40.704505550443635),-73.79726496612192,40.704505550443635,80,80,Queens,Jamaica Avenue,162 Street,Guy R. Brewer Boulevard,Y,"1,390","11,407","5,326","1,636","12,671","5,988",949,"8,011","7,008","1,259","9,860","4,666","1,286","9,724","4,969","1,149","10,148","5,407","1,149","7,372","8,770","1,350","7,149","6,271","1,495","11,961","7,961","1,363","13,426","9,834","1,566","7,315","8,328","1,414","9,346","7,293","1,521","8,935","5,882","1,430","7,896","7,105","1,359","10,063","7,273","1,465","10,097","7,681","1,215","6,715","4,764","1,697","8,924","4,798","1,280","6,167","5,079","1,326","6,383","4,747","1,413","9,075","5,155","1,228","10,284","7,037","1,366","8,544","7,393","1,591","8,103","5,962","1,238","9,483","5,662",610,"4,129","4,080",801,"6,364","2,782","1,072","5,044","4,613",893,"5,082","4,166",989,"4,620","3,804",999,"6,434","4,642","1,199","5,939","5,059","1,045","6,054","3,620","1,293","6,812",3925,964,"5,074","4,627",3557.833333
